first_name,last_name,party,vote
สุชาติ,ตันเจริญ,พลังประชารัฐ,-1
สุชาติ,ภิญโญ,เพื่อไทย,0
สุชาติ,อุสาหะ,พลังประชารัฐ,0
สุณัฐชา,โล่สถาพรพิพิธ,ประชาธิปัตย์,0
สุทธวรรณ,สุบรรณ ณ อยุธยา,อนาคตใหม่,1
สุทา,ประทีป ณ ถลาง,พลังประชารัฐ,0
สุทิน,คลังแสง,เพื่อไทย,0
สุเทพ,อู่อ้น,อนาคตใหม่,1
สุพล,จุลใส,รวมพลังประชาชาติไทย,0
สุพล,ฟองงาม,พลังประชารัฐ,-1
สุพิศาล,ภักดีนฤนาถ,อนาคตใหม่,1
สุภดิช,อากาศฤกษ์,เศรษฐกิจใหม่,2
สุภาภรณ์,คงวุฒิปัญญา,เพื่อไทย,0
สุรชัย,ศรีสารคาม,อนาคตใหม่,1
สุรชาติ,ชาญประดิษฐ์,เพื่อไทย,0
สุรชาติ,ศรีบุศกร,พลังประชารัฐ,0
สุรเชษฐ์,ประวีณวงศ์วุฒิ,อนาคตใหม่,1
สุรทิน,พิจารณ์,ประชาธิปไตยใหม่,0
สุรพงษ์,อึ้งอัมพรวิไล,เพื่อไทย,0
สุรวาท,ทองบุ,อนาคตใหม่,1
สุรวิทย์,คนสมบูรณ์,เพื่อไทย,0
สุรศักดิ์,ชิงนวรรณ์,พลังประชารัฐ,0
